ID, R, G, B
622,0.160784,0.164706,0.235294
623,0.690196,0.694118,0.717647
624,0.686275,0.690196,0.721569
625,0.121569,0.129412,0.196078
626,0.121569,0.121569,0.188235
627,0.0862745,0.0823529,0.141176
628,0.0784314,0.0705882,0.121569
629,0.109804,0.105882,0.168627
630,0.133333,0.129412,0.192157
631,0.12549,0.121569,0.184314
632,0.133333,0.129412,0.192157
633,0.145098,0.141176,0.203922
634,0.133333,0.129412,0.192157
635,0.133333,0.129412,0.192157
636,0.133333,0.129412,0.192157
637,0.129412,0.137255,0.196078
638,0.129412,0.137255,0.196078
639,0.129412,0.137255,0.196078
640,0.133333,0.141176,0.2
641,0.752941,0.760784,0.811765
642,0.862745,0.870588,0.92549
643,0.176471,0.184314,0.243137
644,0.129412,0.133333,0.203922
645,0.133333,0.137255,0.207843
646,0.133333,0.137255,0.207843
647,0.133333,0.137255,0.207843
648,0.121569,0.12549,0.196078
649,0.0980392,0.105882,0.152941
650,0.0862745,0.0941176,0.14902
651,0.141176,0.14902,0.211765
652,0.121569,0.12549,0.196078
653,0.12549,0.129412,0.207843
654,0.117647,0.121569,0.2
655,0.160784,0.164706,0.243137
656,0.705882,0.709804,0.788235
657,1,1,1
658,1,1,1
659,0.141176,0.145098,0.215686
660,0.109804,0.117647,0.188235
661,0.0901961,0.0901961,0.156863
662,0.0862745,0.0823529,0.141176
663,0.0784314,0.0705882,0.121569
664,0.0980392,0.0941176,0.156863
665,0.133333,0.129412,0.192157
666,0.12549,0.121569,0.184314
667,0.133333,0.129412,0.192157
668,0.137255,0.133333,0.196078
669,0.12549,0.121569,0.184314
670,0.129412,0.12549,0.188235
671,0.129412,0.12549,0.188235
672,0.12549,0.133333,0.192157
673,0.12549,0.133333,0.192157
674,0.12549,0.133333,0.192157
675,0.129412,0.137255,0.196078
676,0.482353,0.486275,0.552941
677,0.862745,0.870588,0.929412
678,0.4,0.407843,0.462745
679,0.133333,0.141176,0.192157
680,0.129412,0.133333,0.203922
681,0.129412,0.133333,0.203922
682,0.133333,0.137255,0.207843
683,0.121569,0.12549,0.196078
684,0.113725,0.121569,0.172549
685,0.0901961,0.0980392,0.152941
686,0.121569,0.12549,0.192157
687,0.145098,0.14902,0.219608
688,0.12549,0.133333,0.184314
689,0.2,0.207843,0.258824
690,0.631373,0.639216,0.690196
691,0.815686,0.823529,0.87451
692,0.164706,0.176471,0.235294
693,1,1,1
694,0.996078,0.996078,0.996078
695,0.113725,0.109804,0.180392
696,0.0862745,0.0823529,0.137255
697,0.0862745,0.0823529,0.137255
698,0.0784314,0.0745098,0.129412
699,0.0745098,0.0705882,0.12549
700,0.109804,0.101961,0.152941
701,0.137255,0.12549,0.188235
702,0.133333,0.121569,0.192157
703,0.133333,0.121569,0.196078
704,0.133333,0.129412,0.192157
705,0.129412,0.12549,0.188235
706,0.121569,0.117647,0.180392
707,0.129412,0.12549,0.188235
708,0.133333,0.129412,0.192157
709,0.133333,0.129412,0.192157
710,0.133333,0.129412,0.192157
711,0.137255,0.133333,0.196078
712,0.262745,0.247059,0.286275
713,0.85098,0.890196,0.929412
714,0.666667,0.639216,0.721569
715,0.109804,0.12549,0.188235
716,0.105882,0.117647,0.192157
717,0.12549,0.137255,0.211765
718,0.121569,0.133333,0.207843
719,0.12549,0.137255,0.211765
720,0.14902,0.14902,0.196078
721,0.321569,0.317647,0.368627
722,0.619608,0.615686,0.67451
723,0.8,0.796078,0.866667
724,0.788235,0.792157,0.807843
725,0.768627,0.772549,0.788235
726,0.752941,0.756863,0.772549
727,0.27451,0.278431,0.294118
728,0.160784,0.188235,0.227451
729,0.901961,0.905882,0.913725
730,1,1,1
731,0.52549,0.52549,0.568627
732,0.105882,0.101961,0.172549
733,0.0862745,0.0823529,0.137255
734,0.0862745,0.0823529,0.137255
735,0.0705882,0.0666667,0.121569
736,0.0666667,0.0627451,0.117647
737,0.12549,0.117647,0.172549
738,0.129412,0.117647,0.180392
739,0.133333,0.121569,0.192157
740,0.133333,0.121569,0.196078
741,0.137255,0.133333,0.196078
742,0.129412,0.12549,0.188235
743,0.121569,0.117647,0.180392
744,0.129412,0.12549,0.188235
745,0.129412,0.12549,0.188235
746,0.129412,0.12549,0.188235
747,0.129412,0.12549,0.188235
748,0.137255,0.133333,0.196078
749,0.133333,0.133333,0.196078
750,0.8,0.847059,0.894118
751,0.8,0.788235,0.854902
752,0.113725,0.164706,0.207843
753,0.137255,0.14902,0.184314
754,0.498039,0.509804,0.545098
755,0.827451,0.839216,0.87451
756,0.870588,0.882353,0.917647
757,0.866667,0.866667,0.905882
758,0.87451,0.87451,0.921569
759,0.85098,0.847059,0.901961
760,0.803922,0.8,0.862745
761,0.768627,0.768627,0.815686
762,0.584314,0.584314,0.631373
763,0.129412,0.129412,0.176471
764,0.129412,0.129412,0.176471
765,0.160784,0.176471,0.223529
766,0.180392,0.196078,0.243137
767,1,1,1
768,1,1,1
769,0.113725,0.113725,0.184314
770,0.109804,0.105882,0.176471
771,0.0980392,0.0941176,0.14902
772,0.0862745,0.0823529,0.137255
773,0.0745098,0.0705882,0.12549
774,0.0627451,0.0588235,0.113725
775,0.137255,0.129412,0.184314
776,0.141176,0.129412,0.192157
777,0.133333,0.121569,0.192157
778,0.133333,0.121569,0.196078
779,0.133333,0.129412,0.192157
780,0.133333,0.129412,0.192157
781,0.121569,0.117647,0.180392
782,0.121569,0.117647,0.180392
783,0.121569,0.117647,0.180392
784,0.121569,0.117647,0.180392
785,0.12549,0.121569,0.184314
786,0.137255,0.133333,0.196078
787,0.101961,0.117647,0.2
788,0.827451,0.85098,0.886275
789,0.909804,0.854902,0.890196
790,0.392157,0.396078,0.423529
791,0.886275,0.890196,0.905882
792,0.894118,0.898039,0.913725
793,0.847059,0.85098,0.866667
794,0.835294,0.839216,0.854902
795,0.796078,0.796078,0.827451
796,0.607843,0.607843,0.643137
797,0.352941,0.352941,0.4
798,0.105882,0.101961,0.156863
799,0.145098,0.141176,0.203922
800,0.121569,0.117647,0.180392
801,0.109804,0.105882,0.168627
802,0.113725,0.109804,0.172549
803,0.141176,0.14902,0.207843
804,0.14902,0.156863,0.215686
805,0.345098,0.352941,0.4
806,1,1,1
807,1,1,1
808,0.152941,0.152941,0.223529
809,0.113725,0.109804,0.180392
810,0.0980392,0.0941176,0.14902
811,0.0862745,0.0823529,0.137255
812,0.0745098,0.0705882,0.12549
813,0.0627451,0.0588235,0.113725
814,0.137255,0.129412,0.184314
815,0.141176,0.129412,0.192157
816,0.133333,0.121569,0.192157
817,0.133333,0.121569,0.196078
818,0.133333,0.129412,0.192157
819,0.133333,0.129412,0.192157
820,0.121569,0.117647,0.180392
821,0.121569,0.117647,0.180392
822,0.121569,0.117647,0.180392
823,0.121569,0.117647,0.180392
824,0.117647,0.113725,0.176471
825,0.137255,0.133333,0.196078
826,0.113725,0.121569,0.2
827,0.87451,0.835294,0.843137
828,0.686275,0.501961,0.517647
829,0.705882,0.560784,0.576471
830,0.827451,0.823529,0.847059
831,0.129412,0.12549,0.14902
832,0.0901961,0.0862745,0.109804
833,0.0862745,0.0823529,0.105882
834,0.0862745,0.0901961,0.109804
835,0.113725,0.117647,0.141176
836,0.0980392,0.0980392,0.137255
837,0.0745098,0.0745098,0.121569
838,0.129412,0.129412,0.176471
839,0.152941,0.152941,0.2
840,0.137255,0.137255,0.184314
841,0.117647,0.117647,0.164706
